,price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,TPS,labels
0,20778.12,7610000000.0,400000000000.0,19261243.0,17487673.04,19099525.74,43293941.0,648000000.0,522000000.0,3.51,20786.65
1,19198.8,5710000000.0,370000000000.0,19260275.0,17486783.9,19084494.4,43272853.0,606000000.0,838000000.0,3.71,20778.12
2,18377.66,6940000000.0,354000000000.0,19259362.0,17485777.01,19076653.13,43301857.0,581000000.0,545000000.0,3.59,19198.8
3,17485.74,4200000000.0,337000000000.0,19258418.0,17484728.91,19068483.36,43345964.0,305000000.0,406000000.0,3.34,18377.66
4,17301.53,4090000000.0,333000000000.0,19257350.0,17483925.97,19064474.02,43309651.0,369000000.0,413000000.0,3.54,17485.74
5,17239.97,4600000000.0,332000000000.0,19256437.0,17482766.82,19061094.17,43501655.0,352000000.0,423000000.0,3.31,17301.53
6,16956.72,2140000000.0000002,326000000000.0,19255487.0,17481478.16,19059152.24,43488936.0,148000000.0,153000000.0,2.65,17239.97
7,16929.04,1570000000.0,326000000000.0,19254475.0,17480606.24,19057458.2,43443487.0,191000000.0,201000000.0,2.9,16956.72
8,16823.43,3820000000.0,324000000000.0,19253368.0,17479534.53,19057028.36,43394123.0,279000000.0,349000000.0,3.16,16929.04
9,16823.48,2850000000.0,324000000000.0,19252425.0,17478453.72,19054874.76,43366223.0,256000000.0,338000000.0,3.18,16823.43
10,16831.36,4350000000.0,324000000000.0,19251481.0,17477698.69,19054022.56,43357684.0,338000000.0,296000000.0,3.23,16823.48
11,16684.0,3100000000.0,321000000000.0,19250562.0,17476631.82,19051109.15,43361833.0,230000000.0,294000000.0,3.17,16831.36
12,16689.93,2560000000.0,321000000000.0,19249581.0,17475771.13,19050256.55,43441232.0,244000000.0,215000000.0,2.65,16684.0
13,16550.09,1760000000.0,319000000000.0,19248612.0,17474780.91,19047450.63,43475421.0,211000000.0,145000000.0,2.19,16689.93
14,16562.16,2170000000.0,319000000000.0,19247575.0,17473710.14,19045923.96,43463590.0,271000000.0,223000000.0,2.82,16550.09
15,16524.38,3590000000.0,318000000000.0,19246650.0,17472820.74,19045788.81,43430998.0,334000000.0,419000000.0,3.31,16562.16
16,16588.52,3190000000.0,319000000000.0,19245775.0,17471756.8,19045024.21,43494952.0,271000000.0,313000000.0,3.09,16524.38
17,16627.92,3990000000.0,320000000000.0,19244712.0,17470891.15,19043225.46,43504929.0,281000000.0,332000000.0,3.12,16588.52
18,16790.67,3410000000.0,323000000000.0,19243975.0,17469936.53,19044684.5,43502958.0,286000000.0,254000000.0,2.8,16627.92
19,16850.38,2250000000.0,324000000000.0,19243168.0,17469337.82,19046021.39,43517835.0,168000000.0,196000000.0,2.63,16790.67
20,16810.99,2100000000.0,323000000000.0,19242337.0,17468700.32,19044765.63,43514229.0,134000000.0,128000000.0,2.28,16850.38
21,16830.13,1640000000.0,324000000000.0,19241768.0,17467845.78,19043861.1,43541473.0,141000000.0,196000000.0,2.49,16810.99
22,16832.86,3030000000.0,324000000000.0,19240931.0,17467204.85,19043042.9,43472230.0,335000000.0,306000000.0,3.19,16830.13
23,16752.68,3170000000.0,322000000000.0,19240068.0,17466370.47,19043233.35,43385116.0,360000000.0,296000000.0,3.2,16832.86
24,16827.61,2750000000.0,324000000000.0,19239181.0,17465403.77,19042453.21,43356354.0,269000000.0,287000000.0,3.11,16752.68
25,16793.81,4690000000.0,323000000000.0,19238300.0,17464539.83,19042647.44,43375256.0,340000000.0,366000000.0,3.13,16827.61
26,16641.79,3350000000.0,320000000000.0,19237400.0,17463609.81,19036510.73,43413777.0,327000000.0,352000000.0,3.03,16793.81
27,16739.77,1910000000.0,322000000000.0,19236512.0,17462662.97,19039816.87,43499198.0,166000000.0,198000000.0,2.41,16641.79
28,16698.78,2470000000.0,321000000000.0,19235700.0,17461930.97,19039031.56,43503630.0,230000000.0,390000000.0,3.02,16739.77
29,17005.0,5000000000.0,327000000000.0,19234843.0,17461055.78,19035439.44,43525309.0,325000000.0,565000000.0,3.0,16698.78
30,17542.44,4590000000.0,337000000000.0,19233975.0,17460332.0,19042406.63,43394852.0,407000000.0,426000000.0,3.14,17005.0
31,17932.65,5830000000.0,345000000000.0,19233050.0,17459476.06,19044950.12,43355448.0,484000000.0,686000000.0,3.23,17542.44
32,17541.42,5860000000.0,337000000000.0,19232043.0,17458598.85,19043977.77,43328020.0,526000000.0,1170000000.0,3.31,17932.65
33,17004.06,4170000000.0,327000000000.0,19231150.0,17457545.32,19039188.21,43314813.0,347000000.0,482000000.0,3.06,17541.42
34,17155.55,2720000000.0,330000000000.0,19230231.0,17456794.49,19037515.49,43323605.0,168000000.0,205000000.0,2.56,17004.06
